horizontal_vibration,vertical_vibration,temperature
0.03697679,0.18632133,72.95941544
0.11555196,0.16861631,72.97432639
0.10588501,0.12798729,73.00837282
0.04385819,0.07745313,72.89628240
0.08587528,0.06409522,73.10792232
0.10496643,0.15002053,72.63879161
0.07949055,0.12925138,72.59757336
0.09787471,0.05881199,72.46145250
0.22856517,0.01357613,72.41688319
0.22064019,-0.00956624,72.86094883
0.11518107,0.01561592,73.22251760
0.03608642,-0.04007779,73.25464645
0.05567493,0.01667548,72.99426881
0.16254582,0.02771791,72.71354695
0.16843694,0.00046117,73.21986335
0.09217194,-0.12680839,73.46151788
-0.04624830,-0.16112208,72.94228165
-0.04948665,-0.13981355,72.53477788
-0.03536322,-0.09439934,72.88966766
-0.10084470,-0.07698131,73.37046834
-0.10353396,-0.12389405,72.87550614
-0.04678131,-0.13539806,73.37111459
-0.01868249,-0.07639013,72.70016271
-0.11407482,-0.09745400,72.89608805
-0.20533776,-0.10887084,73.15418463
-0.15889355,-0.04555882,73.32711615
-0.09742320,0.04638614,73.34814386
-0.03872528,-0.00123693,72.06532999
-0.12699854,-0.08660468,73.53340724
-0.18709393,-0.05072137,73.08827596
-0.10974870,0.02434109,73.02855075
-0.06957932,0.11067119,72.84464920
-0.08132277,0.16342253,73.20506799
0.01701849,0.10151463,72.89862430
0.11577378,0.10123645,73.01110269
0.10896064,0.09803680,72.88634686
0.01730722,0.12947079,73.55049249
-0.00095533,0.07674264,73.49467205
0.06934245,0.11497670,73.17495236
0.14793843,0.13318990,73.12802644
0.16855783,0.11293462,73.34927195
0.08749349,0.01579066,72.45861326
0.09154971,-0.02856617,73.13710084
0.19165508,0.05942164,73.84278519
0.12301093,0.09242026,72.84662826
0.09767777,0.02258389,73.36185490
0.12516725,-0.01320026,72.95694425
0.17111692,-0.08834583,73.10844370
0.12555763,-0.07778320,73.19858641
-0.09234654,-0.10080543,73.25709322
-0.15663939,-0.12823997,72.88971548
-0.05353755,-0.11132376,73.48652721
0.01417727,-0.09554179,72.93969223
-0.01081885,-0.11916847,73.60100824
-0.11205779,-0.19420166,72.97869728
-0.09368467,-0.14892284,73.01446459
-0.12187771,-0.10378955,73.66764782
-0.13731117,-0.00604113,72.89204451
-0.21356359,-0.06357969,72.94420093
-0.09217978,-0.04789981,73.21242017
-0.07491913,-0.05507056,72.87132561
-0.12936513,-0.04456200,73.21254746
-0.24586110,-0.02418261,72.78556211
-0.17080309,0.03613786,73.26782550
-0.02053397,0.09255355,73.22282429
0.03221775,0.12344719,72.72929669
