horizontal_vibration,vertical_vibration,temperature
0.03097141,0.05744321,58.59925553
0.08219429,0.06048337,58.89208437
0.05680191,0.01791491,58.77698241
0.05355950,0.04318253,59.34054500
0.03170852,0.03878927,58.65620448
0.03565166,0.03957180,59.06602928
0.02235736,0.06326436,59.07169568
0.02962842,0.03680862,58.94482885
0.07069490,0.00898361,59.46228314
0.07677300,0.00730625,58.62319102
0.04502985,0.00186915,59.16602020
0.01367662,-0.00642190,58.97577284
0.01979367,0.00573735,59.25524885
0.06606152,0.00608761,58.85651858
0.05669803,0.00622420,59.39786762
0.03595977,-0.02043749,59.45199945
-0.00665604,-0.05927106,59.19694076
-0.02536352,-0.04680061,58.92798854
-0.04154269,-0.05243967,59.01191126
-0.05583482,-0.02169126,58.91623429
-0.02840803,-0.06427296,59.57948326
-0.01105653,-0.05043923,59.25667641
-0.01390253,-0.04202481,59.71090845
-0.04646927,-0.02549996,59.00999622
-0.07175985,-0.03440130,59.24962803
-0.07323765,-0.02321486,58.89280981
-0.03963514,0.02587624,59.50004956
-0.01816238,-0.01445708,59.26884189
-0.03773589,-0.01717614,58.70608649
-0.04602572,-0.03295360,59.06155607
-0.03477830,-0.00489767,59.19513829
-0.03086259,0.04033930,59.63854577
-0.02195063,0.06390673,59.11239125
-0.01303270,0.04351633,58.76344073
0.03358196,0.06013101,58.58446626
0.03254882,0.03425307,58.58957899
-0.00260154,0.00921159,59.10580571
-0.01651846,0.03398738,59.16577580
0.02186142,0.03906305,58.55306580
0.05917843,0.04047768,59.24376457
0.06488630,0.06269597,59.42301833
0.03280130,0.01122279,59.67954158
0.04091831,-0.00650869,59.09179009
0.06129032,0.02262846,58.83901358
0.04503826,0.02468186,59.23114967
0.04784663,0.01405083,59.50864937
0.03853802,-0.00505723,59.48943600
0.06118248,-0.03547596,59.05925179
0.04685350,-0.03842252,59.49090967
-0.01640430,-0.03520045,58.46333863
-0.03537604,-0.04360631,59.28836309
-0.00875496,-0.04086217,58.75028587
0.00096056,-0.02551985,59.16814900
-0.00842689,-0.02910899,59.32684614
-0.04428373,-0.06735207,58.83351276
-0.04068714,-0.03765619,59.02846589
-0.02991604,-0.02853422,59.60397409
-0.05563894,-0.00384807,59.32388192
-0.06581724,-0.01409068,59.07178839
-0.04348121,-0.01235356,59.05686952
-0.03187951,-0.03093307,59.17118498
-0.02825084,-0.00062537,59.07989690
-0.07575615,-0.00950602,59.30312591
-0.07983215,0.01248467,59.03542676
-0.02976492,0.05008435,59.29447763
0.01757185,0.05281359,59.07960653
0.00803075,0.06329592,58.88149082
-0.00687362,0.01900468,58.76063278
0.02639089,0.03568855,59.68789620
0.01256335,0.07050926,59.09289621
-0.00602218,0.06693922,59.03865061
0.03471973,0.04572707,59.49293104
0.05187340,0.02041774,59.90804514
0.08153564,0.01581770,59.12773760
0.06219634,0.01473818,59.29440021
0.02867900,0.01651864,59.36189655
0.05762192,0.01417239,59.21120061
0.09111524,0.01883490,59.17803061
0.08846052,0.02335114,59.12476365
0.06307177,-0.01150761,59.48429732
0.02006858,-0.04727614,59.61898211
0.01081831,-0.04786100,59.75298621
-0.00437352,-0.01764409,59.50749666
-0.01436896,-0.02394254,58.96731636
-0.00867005,-0.05176916,59.49546949
0.01979954,-0.05476355,58.81422957
0.01893705,-0.02996034,58.97642419
-0.05579937,-0.03886072,59.53815423
-0.06699016,-0.03471754,59.36044656
-0.06113176,-0.03661731,58.74510322
-0.02587210,-0.00228801,59.05065422
-0.03067017,-0.01224926,59.46846134
-0.05342736,-0.03369477,59.01547868
-0.08125466,-0.05264159,59.26837077
-0.05812816,-0.03894764,59.50532166
-0.05669933,0.01649290,59.65332231
-0.05762525,0.04218935,59.32513573
-0.01477403,0.01347290,59.43870932
0.01737271,0.03544018,59.18125050
0.04489881,0.02389967,59.21821552
0.01175214,0.05582136,59.34183538
-0.03134539,0.04601705,59.30656647
0.00946358,0.02788718,58.98544605
0.03542396,0.05436672,59.20129172
0.06072324,0.05686576,59.34421280
0.02828007,0.02769434,59.08536714
0.03119738,-0.01915834,59.59183063
0.04813780,0.04403063,59.71379795
0.04294570,0.05579939,59.45015885
0.04375227,0.02750034,59.76343284
0.06134618,0.00372975,59.60896072
0.08305634,0.00311592,59.47966796
0.05436356,-0.01138845,59.15209927
0.01483045,-0.03480657,59.37687604
-0.03278106,-0.03488982,59.04299527
-0.01174054,-0.03140310,59.06815617
0.02680182,-0.02333154,59.08228667
0.03296200,-0.03527158,59.88569839
-0.01900210,-0.07002327,59.35564560
-0.03696729,-0.08581120,59.73134532
-0.03577311,-0.02848393,59.35942973
-0.04370366,-0.00657693,59.59002041
-0.03612553,-0.01630145,59.05661350
-0.03211501,-0.05092387,59.84117723
-0.00998190,-0.04016039,59.18391432
-0.04143129,-0.02585468,59.22897030
-0.09370058,-0.01790034,59.23679118
-0.09350973,0.00184742,59.26269832
-0.05851678,0.00757510,59.51133304
-0.01003177,0.03973292,59.57609726
-0.02257500,0.01677545,59.48909203
-0.02954255,-0.00024260,59.22588619
-0.01382420,0.00169406,59.46024562
0.00518294,0.02476620,59.25114656
0.00226711,0.06590189,59.48244340
-0.00773127,0.04963176,59.25062181
0.04232011,0.02140116,59.67488820
0.05378997,0.03123568,58.78252137
0.03516309,0.05134959,59.49998746
0.01732443,0.04336406,59.58660694
0.03084291,0.03988400,60.16120927
0.06849669,0.05044798,59.19651737
0.08383354,0.01482306,58.80898641
0.07479267,0.02616407,59.12404075
0.22289223,0.11788660,59.62161838
0.17954141,0.09064453,59.29291831
0.16898814,0.11108338,59.93214310
0.14066372,0.09314906,59.26845425
0.12269947,0.06381770,59.39203212
0.13835254,0.02284182,59.01163230
0.13449144,0.04493018,59.75747349
0.09325080,0.02021320,59.06431177
0.02179233,0.01850257,59.07133077
0.00753063,0.01695226,59.34895314
0.06388883,0.03023688,59.68930609
0.01701537,0.02274065,59.35994654
0.01030357,-0.01968000,59.23201302
-0.03281418,-0.03705620,59.74441172
-0.02163310,-0.00523211,59.06951618
-0.04844541,0.00498860,59.77227842
-0.02625002,0.03974852,58.75421031
-0.02168402,0.04096573,59.20966251
0.00619413,0.02595144,59.55525820
0.03736845,0.04446954,59.80469085
0.00508839,0.04042803,59.50373496
-0.04067798,0.04745212,59.17561490
-0.00427351,0.05004324,59.36836500
0.03501093,0.09174787,59.37438011
0.03637269,0.04864324,59.27319227
0.02246865,0.03793059,58.99338099
0.02835388,0.02389494,59.27223118
0.05994873,0.04232378,59.12617484
0.06412511,0.05355659,59.28422405
0.04490386,0.07494827,59.80993528
0.08426855,0.04644138,59.83349791
0.10329439,0.02587453,59.51830563
0.08253476,0.00006029,59.23487393
0.04121361,0.02802104,59.39691890
0.00589755,-0.02559483,59.62069268
0.02871906,-0.00035478,59.67931887
0.03496965,0.00133959,59.08935073
0.04774652,-0.01219340,59.65563044
0.01422543,-0.04464661,59.86377606
-0.01168732,-0.06621014,59.68589645
0.00928861,-0.03292948,59.44553643
-0.00976231,-0.02452958,59.04210364
-0.02901290,-0.01413971,59.49085155
-0.02185160,-0.03960832,58.94480976
-0.01509049,-0.06065210,59.39626330
-0.03670722,-0.03906066,59.58305197
-0.08840364,-0.05613436,59.25336109
-0.10850052,-0.02549050,59.23196165
-0.07123867,-0.03065775,59.77977503
-0.01532751,-0.01139368,59.68524465
-0.01466797,-0.00138442,59.48311236
-0.05989710,-0.01345528,59.75127920
-0.03955286,-0.00386891,59.25400181
-0.02435363,0.03931396,59.19583327
-0.03190382,0.04921261,59.47566220
-0.02488525,0.02799558,59.63635546
0.01812085,0.03163512,58.81406382
0.03188559,0.02299633,59.17088509
0.02178660,0.03596406,59.81388576
-0.00874943,0.02388868,59.50828519
0.01463461,0.02933162,59.58722278
0.05080952,0.05273675,59.42645189
0.09787928,0.06591891,59.36628272
0.07349958,0.02632357,59.44786619
0.07237204,0.01266201,59.17934020
0.04437202,-0.01212073,59.41854140
0.03645172,0.02131349,59.60215002
0.04266112,0.01466421,59.94283211
0.02919881,-0.02369852,58.94370809
0.05056147,-0.03444963,59.31932044
0.04614664,-0.02567115,59.49430291
0.00432564,-0.02276022,59.11316649
-0.01828977,-0.02231728,59.43072348
-0.03216700,-0.03199336,59.66448308
0.02046323,-0.02905742,59.66647941
0.00671593,-0.00574925,59.50300509
-0.03008823,-0.03589403,59.96910816
-0.06306095,-0.08146723,59.76754777
-0.06898053,-0.04304805,59.60467171
-0.06509201,-0.02683039,59.40014019
-0.06846967,-0.01348413,59.58907770
-0.06654887,-0.02179850,59.03725976
-0.03528313,-0.01675941,59.73725497
-0.01057718,-0.00485201,59.49984267
-0.03743942,0.01373974,59.98547563
-0.06592891,0.02071751,60.33274420
-0.04825011,0.00882050,59.44528837
-0.01291419,0.04954900,59.49431542
0.00377286,0.05634774,59.23902006
-0.01338509,0.02323359,59.38631026
-0.01458291,0.01265489,59.74162718
-0.01285501,0.02574043,59.71946566
0.02303943,0.05489452,59.92482241
0.03729774,0.06326268,59.69435514
0.04479069,0.05227715,59.71670064
0.07853990,0.02242369,59.81651632
0.06302354,0.03637096,60.13034142
0.05545735,0.00105447,59.72200977
0.00006605,-0.00106697,59.71989153
0.01123919,-0.00020242,59.38399651
0.06738994,0.02224888,59.48347029
0.07524488,-0.00232166,59.30432820
0.03848769,-0.02797933,59.32895574
0.03445387,-0.05996762,59.41580182
0.04387559,-0.01978733,59.36610722
0.01233796,-0.01615690,59.42485792
-0.00487871,-0.01471401,60.16381585
0.00011715,-0.02141252,59.51785392
0.00737378,-0.04348188,59.67068284
-0.00383275,-0.04315262,60.25579995
-0.05572253,-0.06526321,59.13444022
-0.08581975,-0.04433837,59.72083867
-0.06378959,-0.03889121,59.18026065
-0.04655145,-0.00412151,59.64862401
-0.03254550,-0.01746214,59.76049429
-0.05048383,-0.03218753,59.56144673
-0.03502624,-0.02487823,59.75088645
-0.04900122,0.00392873,59.20004039
-0.03676467,0.02714670,59.83596666
-0.03103101,0.02978890,59.31200203
-0.01672413,0.02539001,59.45695354
