timestamp,vibration_x,vibration_y,vibration_z,motor_speed,voltage_load,temperature
0.000,0.045,-0.038,0.052,1800,380,58.7
0.001,0.052,-0.041,0.058,1800,380,58.9
0.002,0.048,-0.039,0.055,1800,380,58.8
0.003,0.051,-0.042,0.057,1800,380,59.1
0.004,0.046,-0.040,0.053,1800,380,59.0
0.005,0.049,-0.037,0.056,1800,380,58.7
0.006,0.053,-0.043,0.059,1800,380,59.2
0.007,0.047,-0.038,0.054,1800,380,58.9
0.008,0.050,-0.041,0.057,1800,380,59.0
0.009,0.048,-0.039,0.055,1800,380,58.8
0.010,0.052,-0.042,0.058,1800,380,59.1
0.011,0.046,-0.040,0.053,1800,380,58.9
0.012,0.049,-0.038,0.056,1800,380,58.7
0.013,0.051,-0.041,0.057,1800,380,59.0
0.014,0.047,-0.039,0.054,1800,380,59.2
0.015,0.053,-0.043,0.059,1800,380,59.1
0.016,0.050,-0.040,0.057,1800,380,58.8
0.017,0.048,-0.038,0.055,1800,380,58.9
0.018,0.052,-0.042,0.058,1800,380,59.3
0.019,0.049,-0.041,0.056,1800,380,59.0
