timestamp,vibration_x,vibration_y,vibration_z,motor_speed,voltage_load,temperature
0.000,0.012,-0.008,0.015,1800,380,45.2
0.001,0.015,-0.010,0.018,1800,380,45.3
0.002,0.011,-0.009,0.014,1800,380,45.2
0.003,0.013,-0.007,0.016,1800,380,45.4
0.004,0.014,-0.011,0.017,1800,380,45.3
0.005,0.010,-0.008,0.013,1800,380,45.2
0.006,0.016,-0.012,0.019,1800,380,45.5
0.007,0.012,-0.009,0.015,1800,380,45.3
0.008,0.013,-0.010,0.016,1800,380,45.4
0.009,0.011,-0.007,0.014,1800,380,45.2
0.010,0.015,-0.011,0.018,1800,380,45.3
0.011,0.014,-0.008,0.017,1800,380,45.4
0.012,0.012,-0.009,0.015,1800,380,45.2
0.013,0.013,-0.010,0.016,1800,380,45.5
0.014,0.011,-0.007,0.014,1800,380,45.3
0.015,0.016,-0.012,0.019,1800,380,45.4
0.016,0.015,-0.009,0.018,1800,380,45.2
0.017,0.013,-0.010,0.016,1800,380,45.3
0.018,0.012,-0.008,0.015,1800,380,45.5
0.019,0.014,-0.011,0.017,1800,380,45.4
